10 44
0.548813503927 0.715189366372
0.602763376072 0.544883182997
0.423654799339 0.645894113067
0.437587211263 0.891773000782
0.963662760501 0.383441518826
0.791725038083 0.528894919753
0.568044561094 0.925596638293
0.0710360581979 0.0871292997015
0.0202183974403 0.832619845548
0.77815675095 0.870012148247
8 6 0.555660138549
0 6 0.211284295764
0 9 0.276709990319
6 0 0.211284295764
3 8 0.421539823179
2 8 0.444553067189
6 9 0.217340212247
2 3 0.246273302504
0 3 0.208693718452
1 7 0.701621378127
5 1 0.189636848401
1 4 0.395362841719
9 4 0.520733575828
4 7 0.940522918842
9 0 0.276709990319
9 6 0.217340212247
1 0 0.178647095695
5 9 0.341386968104
3 0 0.208693718452
0 1 0.178647095695
8 7 0.747220575594
1 2 0.205628524901
7 2 0.660725429554
6 3 0.134770763074
0 5 0.306123560457
4 9 0.520733575828
3 2 0.246273302504
4 5 0.225209396411
2 1 0.205628524901
7 4 0.940522918842
0 2 0.143061292686
5 0 0.306123560457
4 1 0.395362841719
1 5 0.189636848401
5 4 0.225209396411
2 7 0.660725429554
8 2 0.444553067189
3 6 0.134770763074
7 1 0.701621378127
7 8 0.747220575594
2 0 0.143061292686
9 5 0.341386968104
8 3 0.421539823179
6 8 0.555660138549
